WARNING: kafka-python not installed. Using mock KafkaProducer.
WARNING: kafka-python not installed. Using mock KafkaConsumer.
Starting Network Anomaly Detection System
Starting traffic simulator
Mock KafkaProducer initialized with {'bootstrap_servers': 'localhost:9092', 'value_serializer': <function KafkaNetworkProducer.__init__.<locals>.<lambda> at 0x14a587100>}
Connected to Kafka at localhost:9092
Starting Kafka consumer for topic 'network_traffic'
Mock KafkaConsumer initialized with topics ('network_traffic',) and {'bootstrap_servers': 'localhost:9092', 'auto_offset_reset': 'latest', 'value_deserializer': <function NetworkAnomalyDetectionSystem.consume_traffic.<locals>.<lambda> at 0x14a587380>, 'group_id': 'network_anomaly_detector'}
Producing 10 packets per second to topic 'network_traffic'
Mock send to network_traffic: {'timestamp': '2025-05-15 23:01:52.740457', 'src_ip': '192.168.1.4', 'dst_ip': '10.0.0.3', 'src_port': 6024, 'dst_port': 0, 'protocol': 'ICMP', 'packet_size': 660, 'is_attack': False}
Mock send to network_traffic: {'timestamp': '2025-05-15 23:01:54.087328', 'src_ip': '192.168.1.4', 'dst_ip': '10.0.0.4', 'src_port': 7024, 'dst_port': 0, 'protocol': 'ICMP', 'packet_size': 632, 'is_attack': False}
Mock send to network_traffic: {'timestamp': '2025-05-15 23:01:54.190732', 'src_ip': '192.168.1.1', 'dst_ip': '10.0.0.5', 'src_port': 5024, 'dst_port': 80, 'protocol': 'TCP', 'packet_size': 89, 'is_attack': False}
Mock send to network_traffic: {'timestamp': '2025-05-15 23:01:54.294963', 'src_ip': '192.168.1.5', 'dst_ip': '10.0.0.5', 'src_port': 9024, 'dst_port': 0, 'protocol': 'ICMP', 'packet_size': 279, 'is_attack': False}
Mock send to network_traffic: {'timestamp': '2025-05-15 23:01:54.400008', 'src_ip': '192.168.1.2', 'dst_ip': '10.0.0.2', 'src_port': 5024, 'dst_port': 53, 'protocol': 'UDP', 'packet_size': 1291, 'is_attack': False}
Mock send to network_traffic: {'timestamp': '2025-05-15 23:01:54.503935', 'src_ip': '192.168.1.2', 'dst_ip': '10.0.0.1', 'src_port': 1024, 'dst_port': 53, 'protocol': 'UDP', 'packet_size': 485, 'is_attack': False}
Mock send to network_traffic: {'timestamp': '2025-05-15 23:01:54.608840', 'src_ip': '192.168.1.5', 'dst_ip': '10.0.0.5', 'src_port': 4024, 'dst_port': 53, 'protocol': 'UDP', 'packet_size': 1404, 'is_attack': False}
Mock send to network_traffic: {'timestamp': '2025-05-15 23:01:54.712323', 'src_ip': '192.168.1.8', 'dst_ip': '10.0.0.5', 'src_port': 1024, 'dst_port': 0, 'protocol': 'ICMP', 'packet_size': 452, 'is_attack': False}
Mock send to network_traffic: {'timestamp': '2025-05-15 23:01:54.813418', 'src_ip': '192.168.1.2', 'dst_ip': '10.0.0.4', 'src_port': 9024, 'dst_port': 80, 'protocol': 'TCP', 'packet_size': 652, 'is_attack': False}
Mock send to network_traffic: {'timestamp': '2025-05-15 23:01:54.914919', 'src_ip': '192.168.1.8', 'dst_ip': '10.0.0.1', 'src_port': 6024, 'dst_port': 0, 'protocol': 'ICMP', 'packet_size': 231, 'is_attack': False}
Mock send to network_traffic: {'timestamp': '2025-05-15 23:01:55.015549', 'src_ip': '192.168.1.2', 'dst_ip': '10.0.0.2', 'src_port': 4024, 'dst_port': 53, 'protocol': 'UDP', 'packet_size': 212, 'is_attack': False}
Mock send to network_traffic: {'timestamp': '2025-05-15 23:01:55.120610', 'src_ip': '192.168.1.9', 'dst_ip': '10.0.0.3', 'src_port': 9024, 'dst_port': 53, 'protocol': 'UDP', 'packet_size': 927, 'is_attack': False}
Mock send to network_traffic: {'timestamp': '2025-05-15 23:01:55.225657', 'src_ip': '192.168.1.7', 'dst_ip': '10.0.0.5', 'src_port': 2024, 'dst_port': 80, 'protocol': 'TCP', 'packet_size': 408, 'is_attack': False}
Mock send to network_traffic: {'timestamp': '2025-05-15 23:01:55.330705', 'src_ip': '192.168.1.5', 'dst_ip': '10.0.0.4', 'src_port': 7024, 'dst_port': 0, 'protocol': 'ICMP', 'packet_size': 629, 'is_attack': False}
Mock send to network_traffic: {'timestamp': '2025-05-15 23:01:55.435781', 'src_ip': '192.168.1.4', 'dst_ip': '10.0.0.2', 'src_port': 9024, 'dst_port': 0, 'protocol': 'ICMP', 'packet_size': 159, 'is_attack': False}
Mock send to network_traffic: {'timestamp': '2025-05-15 23:01:55.539093', 'src_ip': '192.168.1.1', 'dst_ip': '10.0.0.3', 'src_port': 9024, 'dst_port': 80, 'protocol': 'TCP', 'packet_size': 425, 'is_attack': False}
Mock send to network_traffic: {'timestamp': '2025-05-15 23:01:55.643197', 'src_ip': '192.168.1.10', 'dst_ip': '10.0.0.3', 'src_port': 8024, 'dst_port': 53, 'protocol': 'UDP', 'packet_size': 1002, 'is_attack': False}
Mock send to network_traffic: {'timestamp': '2025-05-15 23:01:55.748268', 'src_ip': '192.168.1.6', 'dst_ip': '10.0.0.2', 'src_port': 9024, 'dst_port': 0, 'protocol': 'ICMP', 'packet_size': 1202, 'is_attack': False}
Mock send to network_traffic: {'timestamp': '2025-05-15 23:01:55.853299', 'src_ip': '192.168.1.8', 'dst_ip': '10.0.0.5', 'src_port': 5024, 'dst_port': 53, 'protocol': 'UDP', 'packet_size': 1098, 'is_attack': False}
Mock send to network_traffic: {'timestamp': '2025-05-15 23:01:55.958378', 'src_ip': '192.168.1.1', 'dst_ip': '10.0.0.2', 'src_port': 4024, 'dst_port': 0, 'protocol': 'ICMP', 'packet_size': 1123, 'is_attack': False}
Mock send to network_traffic: {'timestamp': '2025-05-15 23:01:56.060943', 'src_ip': '192.168.1.5', 'dst_ip': '10.0.0.5', 'src_port': 1024, 'dst_port': 80, 'protocol': 'TCP', 'packet_size': 732, 'is_attack': False}
Mock send to network_traffic: {'timestamp': '2025-05-15 23:01:56.164308', 'src_ip': '192.168.1.1', 'dst_ip': '10.0.0.5', 'src_port': 6024, 'dst_port': 80, 'protocol': 'TCP', 'packet_size': 1037, 'is_attack': False}
Mock send to network_traffic: {'timestamp': '2025-05-15 23:01:56.265487', 'src_ip': '192.168.1.4', 'dst_ip': '10.0.0.5', 'src_port': 5024, 'dst_port': 80, 'protocol': 'TCP', 'packet_size': 1003, 'is_attack': False}
Mock send to network_traffic: {'timestamp': '2025-05-15 23:01:56.367205', 'src_ip': '192.168.1.9', 'dst_ip': '10.0.0.1', 'src_port': 4024, 'dst_port': 0, 'protocol': 'ICMP', 'packet_size': 1290, 'is_attack': False}
Mock send to network_traffic: {'timestamp': '2025-05-15 23:01:56.471175', 'src_ip': '192.168.1.7', 'dst_ip': '10.0.0.1', 'src_port': 6024, 'dst_port': 53, 'protocol': 'UDP', 'packet_size': 933, 'is_attack': False}
Mock send to network_traffic: {'timestamp': '2025-05-15 23:01:56.576220', 'src_ip': '192.168.1.6', 'dst_ip': '10.0.0.3', 'src_port': 5024, 'dst_port': 0, 'protocol': 'ICMP', 'packet_size': 948, 'is_attack': False}
Mock send to network_traffic: {'timestamp': '2025-05-15 23:01:56.681283', 'src_ip': '192.168.1.7', 'dst_ip': '10.0.0.5', 'src_port': 6024, 'dst_port': 53, 'protocol': 'UDP', 'packet_size': 192, 'is_attack': False}
Mock send to network_traffic: {'timestamp': '2025-05-15 23:01:56.786214', 'src_ip': '192.168.1.8', 'dst_ip': '10.0.0.2', 'src_port': 1024, 'dst_port': 80, 'protocol': 'TCP', 'packet_size': 600, 'is_attack': False}
Mock send to network_traffic: {'timestamp': '2025-05-15 23:01:56.888070', 'src_ip': '192.168.1.8', 'dst_ip': '10.0.0.2', 'src_port': 5024, 'dst_port': 0, 'protocol': 'ICMP', 'packet_size': 999, 'is_attack': False}
Mock send to network_traffic: {'timestamp': '2025-05-15 23:01:56.991840', 'src_ip': '192.168.1.6', 'dst_ip': '10.0.0.4', 'src_port': 9024, 'dst_port': 0, 'protocol': 'ICMP', 'packet_size': 1345, 'is_attack': False}
Mock send to network_traffic: {'timestamp': '2025-05-15 23:01:57.095941', 'src_ip': '192.168.1.6', 'dst_ip': '10.0.0.2', 'src_port': 3024, 'dst_port': 80, 'protocol': 'TCP', 'packet_size': 262, 'is_attack': False}
Mock send to network_traffic: {'timestamp': '2025-05-15 23:01:57.200968', 'src_ip': '192.168.1.6', 'dst_ip': '10.0.0.1', 'src_port': 1024, 'dst_port': 80, 'protocol': 'TCP', 'packet_size': 985, 'is_attack': False}
Mock send to network_traffic: {'timestamp': '2025-05-15 23:01:57.306011', 'src_ip': '192.168.1.5', 'dst_ip': '10.0.0.2', 'src_port': 1024, 'dst_port': 0, 'protocol': 'ICMP', 'packet_size': 851, 'is_attack': False}
Mock send to network_traffic: {'timestamp': '2025-05-15 23:01:57.411049', 'src_ip': '192.168.1.5', 'dst_ip': '10.0.0.5', 'src_port': 8024, 'dst_port': 0, 'protocol': 'ICMP', 'packet_size': 1481, 'is_attack': False}
Mock send to network_traffic: {'timestamp': '2025-05-15 23:01:57.511625', 'src_ip': '192.168.1.7', 'dst_ip': '10.0.0.5', 'src_port': 5024, 'dst_port': 53, 'protocol': 'UDP', 'packet_size': 827, 'is_attack': False}
Mock send to network_traffic: {'timestamp': '2025-05-15 23:01:57.616532', 'src_ip': '192.168.1.10', 'dst_ip': '10.0.0.4', 'src_port': 2024, 'dst_port': 0, 'protocol': 'ICMP', 'packet_size': 351, 'is_attack': False}
Mock send to network_traffic: {'timestamp': '2025-05-15 23:01:57.721577', 'src_ip': '192.168.1.2', 'dst_ip': '10.0.0.1', 'src_port': 9024, 'dst_port': 0, 'protocol': 'ICMP', 'packet_size': 632, 'is_attack': False}
Mock send to network_traffic: {'timestamp': '2025-05-15 23:01:57.824944', 'src_ip': '192.168.1.8', 'dst_ip': '10.0.0.4', 'src_port': 1024, 'dst_port': 0, 'protocol': 'ICMP', 'packet_size': 96, 'is_attack': False}
Mock send to network_traffic: {'timestamp': '2025-05-15 23:01:57.928139', 'src_ip': '192.168.1.7', 'dst_ip': '10.0.0.4', 'src_port': 8024, 'dst_port': 53, 'protocol': 'UDP', 'packet_size': 1227, 'is_attack': False}
Mock send to network_traffic: {'timestamp': '2025-05-15 23:01:58.033181', 'src_ip': '192.168.1.9', 'dst_ip': '10.0.0.4', 'src_port': 3024, 'dst_port': 80, 'protocol': 'TCP', 'packet_size': 967, 'is_attack': False}
Mock send to network_traffic: {'timestamp': '2025-05-15 23:01:58.138210', 'src_ip': '192.168.1.1', 'dst_ip': '10.0.0.2', 'src_port': 5024, 'dst_port': 0, 'protocol': 'ICMP', 'packet_size': 880, 'is_attack': False}
Mock send to network_traffic: {'timestamp': '2025-05-15 23:01:58.242553', 'src_ip': '192.168.1.6', 'dst_ip': '10.0.0.5', 'src_port': 1024, 'dst_port': 53, 'protocol': 'UDP', 'packet_size': 1067, 'is_attack': False}
Mock send to network_traffic: {'timestamp': '2025-05-15 23:01:58.343962', 'src_ip': '192.168.1.2', 'dst_ip': '10.0.0.4', 'src_port': 3024, 'dst_port': 0, 'protocol': 'ICMP', 'packet_size': 258, 'is_attack': False}
Mock send to network_traffic: {'timestamp': '2025-05-15 23:01:58.448668', 'src_ip': '192.168.1.10', 'dst_ip': '10.0.0.1', 'src_port': 5024, 'dst_port': 0, 'protocol': 'ICMP', 'packet_size': 1279, 'is_attack': False}
Mock send to network_traffic: {'timestamp': '2025-05-15 23:01:58.552177', 'src_ip': '192.168.1.4', 'dst_ip': '10.0.0.3', 'src_port': 5024, 'dst_port': 53, 'protocol': 'UDP', 'packet_size': 261, 'is_attack': False}
Mock send to network_traffic: {'timestamp': '2025-05-15 23:01:58.657224', 'src_ip': '192.168.1.7', 'dst_ip': '10.0.0.5', 'src_port': 2024, 'dst_port': 53, 'protocol': 'UDP', 'packet_size': 1081, 'is_attack': False}
Mock send to network_traffic: {'timestamp': '2025-05-15 23:01:58.762243', 'src_ip': '192.168.1.7', 'dst_ip': '10.0.0.3', 'src_port': 8024, 'dst_port': 0, 'protocol': 'ICMP', 'packet_size': 823, 'is_attack': False}
Mock send to network_traffic: {'timestamp': '2025-05-15 23:01:58.867297', 'src_ip': '192.168.1.6', 'dst_ip': '10.0.0.2', 'src_port': 8024, 'dst_port': 80, 'protocol': 'TCP', 'packet_size': 356, 'is_attack': False}
Mock send to network_traffic: {'timestamp': '2025-05-15 23:01:58.972286', 'src_ip': '192.168.1.5', 'dst_ip': '10.0.0.5', 'src_port': 4024, 'dst_port': 0, 'protocol': 'ICMP', 'packet_size': 1398, 'is_attack': False}
Mock send to network_traffic: {'timestamp': '2025-05-15 23:01:59.075726', 'src_ip': '192.168.1.6', 'dst_ip': '10.0.0.2', 'src_port': 7024, 'dst_port': 0, 'protocol': 'ICMP', 'packet_size': 648, 'is_attack': False}
Mock send to network_traffic: {'timestamp': '2025-05-15 23:01:59.179611', 'src_ip': '192.168.1.2', 'dst_ip': '10.0.0.3', 'src_port': 5024, 'dst_port': 0, 'protocol': 'ICMP', 'packet_size': 288, 'is_attack': False}
Mock send to network_traffic: {'timestamp': '2025-05-15 23:01:59.282737', 'src_ip': '192.168.1.4', 'dst_ip': '10.0.0.4', 'src_port': 2024, 'dst_port': 53, 'protocol': 'UDP', 'packet_size': 1348, 'is_attack': False}
Mock send to network_traffic: {'timestamp': '2025-05-15 23:01:59.387761', 'src_ip': '192.168.1.2', 'dst_ip': '10.0.0.5', 'src_port': 1024, 'dst_port': 0, 'protocol': 'ICMP', 'packet_size': 1165, 'is_attack': False}
Mock send to network_traffic: {'timestamp': '2025-05-15 23:01:59.490597', 'src_ip': '192.168.1.9', 'dst_ip': '10.0.0.2', 'src_port': 4024, 'dst_port': 0, 'protocol': 'ICMP', 'packet_size': 667, 'is_attack': False}
Mock send to network_traffic: {'timestamp': '2025-05-15 23:01:59.592176', 'src_ip': '192.168.1.1', 'dst_ip': '10.0.0.5', 'src_port': 5024, 'dst_port': 80, 'protocol': 'TCP', 'packet_size': 1060, 'is_attack': False}
Mock send to network_traffic: {'timestamp': '2025-05-15 23:01:59.697210', 'src_ip': '192.168.1.2', 'dst_ip': '10.0.0.2', 'src_port': 9024, 'dst_port': 80, 'protocol': 'TCP', 'packet_size': 610, 'is_attack': False}
Mock send to network_traffic: {'timestamp': '2025-05-15 23:01:59.802237', 'src_ip': '192.168.1.4', 'dst_ip': '10.0.0.1', 'src_port': 3024, 'dst_port': 80, 'protocol': 'TCP', 'packet_size': 214, 'is_attack': False}
Mock send to network_traffic: {'timestamp': '2025-05-15 23:01:59.906615', 'src_ip': '192.168.1.9', 'dst_ip': '10.0.0.3', 'src_port': 7024, 'dst_port': 80, 'protocol': 'TCP', 'packet_size': 1006, 'is_attack': False}
Mock send to network_traffic: {'timestamp': '2025-05-15 23:02:00.011657', 'src_ip': '192.168.1.1', 'dst_ip': '10.0.0.3', 'src_port': 6024, 'dst_port': 53, 'protocol': 'UDP', 'packet_size': 515, 'is_attack': False}
Mock send to network_traffic: {'timestamp': '2025-05-15 23:02:00.116700', 'src_ip': '192.168.1.10', 'dst_ip': '10.0.0.4', 'src_port': 1024, 'dst_port': 80, 'protocol': 'TCP', 'packet_size': 404, 'is_attack': False}
Mock send to network_traffic: {'timestamp': '2025-05-15 23:02:00.220735', 'src_ip': '192.168.1.2', 'dst_ip': '10.0.0.1', 'src_port': 9024, 'dst_port': 0, 'protocol': 'ICMP', 'packet_size': 605, 'is_attack': False}
ICMP 192.168.1.2 -> 10.0.0.1 (605 bytes)
Mock send to network_traffic: {'timestamp': '2025-05-15 23:02:00.325808', 'src_ip': '192.168.1.4', 'dst_ip': '10.0.0.5', 'src_port': 5024, 'dst_port': 80, 'protocol': 'TCP', 'packet_size': 319, 'is_attack': False}
Mock send to network_traffic: {'timestamp': '2025-05-15 23:02:00.428357', 'src_ip': '192.168.1.8', 'dst_ip': '10.0.0.5', 'src_port': 9024, 'dst_port': 53, 'protocol': 'UDP', 'packet_size': 120, 'is_attack': False}
Mock send to network_traffic: {'timestamp': '2025-05-15 23:02:00.533372', 'src_ip': '192.168.1.4', 'dst_ip': '10.0.0.4', 'src_port': 5024, 'dst_port': 80, 'protocol': 'TCP', 'packet_size': 68, 'is_attack': False}
Mock send to network_traffic: {'timestamp': '2025-05-15 23:02:00.638415', 'src_ip': '192.168.1.9', 'dst_ip': '10.0.0.5', 'src_port': 8024, 'dst_port': 0, 'protocol': 'ICMP', 'packet_size': 1495, 'is_attack': False}
Mock send to network_traffic: {'timestamp': '2025-05-15 23:02:00.742551', 'src_ip': '192.168.1.9', 'dst_ip': '10.0.0.5', 'src_port': 1024, 'dst_port': 80, 'protocol': 'TCP', 'packet_size': 703, 'is_attack': False}
Mock send to network_traffic: {'timestamp': '2025-05-15 23:02:00.845002', 'src_ip': '192.168.1.6', 'dst_ip': '10.0.0.2', 'src_port': 1024, 'dst_port': 53, 'protocol': 'UDP', 'packet_size': 133, 'is_attack': False}
Mock send to network_traffic: {'timestamp': '2025-05-15 23:02:00.950045', 'src_ip': '192.168.1.3', 'dst_ip': '10.0.0.1', 'src_port': 5024, 'dst_port': 80, 'protocol': 'TCP', 'packet_size': 1227, 'is_attack': False}
Mock send to network_traffic: {'timestamp': '2025-05-15 23:02:01.055089', 'src_ip': '192.168.1.2', 'dst_ip': '10.0.0.3', 'src_port': 4024, 'dst_port': 53, 'protocol': 'UDP', 'packet_size': 757, 'is_attack': False}
Mock send to network_traffic: {'timestamp': '2025-05-15 23:02:01.160118', 'src_ip': '192.168.1.10', 'dst_ip': '10.0.0.3', 'src_port': 3024, 'dst_port': 53, 'protocol': 'UDP', 'packet_size': 1154, 'is_attack': False}
Mock send to network_traffic: {'timestamp': '2025-05-15 23:02:01.265153', 'src_ip': '192.168.1.8', 'dst_ip': '10.0.0.5', 'src_port': 6024, 'dst_port': 53, 'protocol': 'UDP', 'packet_size': 1319, 'is_attack': False}
Mock send to network_traffic: {'timestamp': '2025-05-15 23:02:01.370193', 'src_ip': '192.168.1.7', 'dst_ip': '10.0.0.2', 'src_port': 7024, 'dst_port': 0, 'protocol': 'ICMP', 'packet_size': 234, 'is_attack': False}
Mock send to network_traffic: {'timestamp': '2025-05-15 23:02:01.472497', 'src_ip': '192.168.1.10', 'dst_ip': '10.0.0.5', 'src_port': 6024, 'dst_port': 53, 'protocol': 'UDP', 'packet_size': 75, 'is_attack': False}
Mock send to network_traffic: {'timestamp': '2025-05-15 23:02:01.577535', 'src_ip': '192.168.1.2', 'dst_ip': '10.0.0.3', 'src_port': 2024, 'dst_port': 53, 'protocol': 'UDP', 'packet_size': 1010, 'is_attack': False}
Mock send to network_traffic: {'timestamp': '2025-05-15 23:02:01.680446', 'src_ip': '192.168.1.6', 'dst_ip': '10.0.0.3', 'src_port': 5024, 'dst_port': 80, 'protocol': 'TCP', 'packet_size': 1470, 'is_attack': False}
Mock send to network_traffic: {'timestamp': '2025-05-15 23:02:01.781664', 'src_ip': '192.168.1.9', 'dst_ip': '10.0.0.3', 'src_port': 6024, 'dst_port': 0, 'protocol': 'ICMP', 'packet_size': 1138, 'is_attack': False}
Mock send to network_traffic: {'timestamp': '2025-05-15 23:02:01.883200', 'src_ip': '192.168.1.8', 'dst_ip': '10.0.0.5', 'src_port': 5024, 'dst_port': 53, 'protocol': 'UDP', 'packet_size': 235, 'is_attack': False}
Mock send to network_traffic: {'timestamp': '2025-05-15 23:02:01.988236', 'src_ip': '192.168.1.1', 'dst_ip': '10.0.0.4', 'src_port': 1024, 'dst_port': 53, 'protocol': 'UDP', 'packet_size': 899, 'is_attack': False}
Mock send to network_traffic: {'timestamp': '2025-05-15 23:02:02.088768', 'src_ip': '192.168.1.2', 'dst_ip': '10.0.0.1', 'src_port': 3024, 'dst_port': 53, 'protocol': 'UDP', 'packet_size': 1462, 'is_attack': False}
Mock send to network_traffic: {'timestamp': '2025-05-15 23:02:02.193851', 'src_ip': '192.168.1.7', 'dst_ip': '10.0.0.1', 'src_port': 5024, 'dst_port': 80, 'protocol': 'TCP', 'packet_size': 564, 'is_attack': False}
Mock send to network_traffic: {'timestamp': '2025-05-15 23:02:02.295897', 'src_ip': '192.168.1.8', 'dst_ip': '10.0.0.5', 'src_port': 5024, 'dst_port': 80, 'protocol': 'TCP', 'packet_size': 876, 'is_attack': False}
Mock send to network_traffic: {'timestamp': '2025-05-15 23:02:02.397976', 'src_ip': '192.168.1.7', 'dst_ip': '10.0.0.4', 'src_port': 7024, 'dst_port': 0, 'protocol': 'ICMP', 'packet_size': 142, 'is_attack': False}
Mock send to network_traffic: {'timestamp': '2025-05-15 23:02:02.498824', 'src_ip': '192.168.1.8', 'dst_ip': '10.0.0.4', 'src_port': 9024, 'dst_port': 0, 'protocol': 'ICMP', 'packet_size': 1322, 'is_attack': False}
Mock send to network_traffic: {'timestamp': '2025-05-15 23:02:02.599922', 'src_ip': '192.168.1.6', 'dst_ip': '10.0.0.2', 'src_port': 3024, 'dst_port': 53, 'protocol': 'UDP', 'packet_size': 1083, 'is_attack': False}
Mock send to network_traffic: {'timestamp': '2025-05-15 23:02:02.701717', 'src_ip': '192.168.1.1', 'dst_ip': '10.0.0.1', 'src_port': 5024, 'dst_port': 0, 'protocol': 'ICMP', 'packet_size': 556, 'is_attack': False}
Mock send to network_traffic: {'timestamp': '2025-05-15 23:02:02.802725', 'src_ip': '192.168.1.4', 'dst_ip': '10.0.0.4', 'src_port': 7024, 'dst_port': 0, 'protocol': 'ICMP', 'packet_size': 1137, 'is_attack': False}
Mock send to network_traffic: {'timestamp': '2025-05-15 23:02:02.906232', 'src_ip': '192.168.1.3', 'dst_ip': '10.0.0.3', 'src_port': 7024, 'dst_port': 80, 'protocol': 'TCP', 'packet_size': 91, 'is_attack': False}
Mock send to network_traffic: {'timestamp': '2025-05-15 23:02:03.011300', 'src_ip': '192.168.1.10', 'dst_ip': '10.0.0.2', 'src_port': 7024, 'dst_port': 80, 'protocol': 'TCP', 'packet_size': 1492, 'is_attack': False}
Mock send to network_traffic: {'timestamp': '2025-05-15 23:02:03.111498', 'src_ip': '192.168.1.1', 'dst_ip': '10.0.0.5', 'src_port': 1024, 'dst_port': 0, 'protocol': 'ICMP', 'packet_size': 409, 'is_attack': False}
Mock send to network_traffic: {'timestamp': '2025-05-15 23:02:03.216349', 'src_ip': '192.168.1.1', 'dst_ip': '10.0.0.4', 'src_port': 8024, 'dst_port': 53, 'protocol': 'UDP', 'packet_size': 358, 'is_attack': False}
Mock send to network_traffic: {'timestamp': '2025-05-15 23:02:03.320002', 'src_ip': '192.168.1.1', 'dst_ip': '10.0.0.4', 'src_port': 3024, 'dst_port': 0, 'protocol': 'ICMP', 'packet_size': 1152, 'is_attack': False}
Mock send to network_traffic: {'timestamp': '2025-05-15 23:02:03.425042', 'src_ip': '192.168.1.5', 'dst_ip': '10.0.0.4', 'src_port': 5024, 'dst_port': 53, 'protocol': 'UDP', 'packet_size': 871, 'is_attack': False}
Mock send to network_traffic: {'timestamp': '2025-05-15 23:02:03.530089', 'src_ip': '192.168.1.1', 'dst_ip': '10.0.0.1', 'src_port': 8024, 'dst_port': 0, 'protocol': 'ICMP', 'packet_size': 1478, 'is_attack': False}
Mock send to network_traffic: {'timestamp': '2025-05-15 23:02:03.634589', 'src_ip': '192.168.1.10', 'dst_ip': '10.0.0.1', 'src_port': 5024, 'dst_port': 53, 'protocol': 'UDP', 'packet_size': 439, 'is_attack': False}
Mock send to network_traffic: {'timestamp': '2025-05-15 23:02:03.735355', 'src_ip': '192.168.1.4', 'dst_ip': '10.0.0.2', 'src_port': 5024, 'dst_port': 53, 'protocol': 'UDP', 'packet_size': 1355, 'is_attack': False}
Mock send to network_traffic: {'timestamp': '2025-05-15 23:02:03.840386', 'src_ip': '192.168.1.8', 'dst_ip': '10.0.0.2', 'src_port': 5024, 'dst_port': 80, 'protocol': 'TCP', 'packet_size': 1327, 'is_attack': False}
